scntfcN,taxnRnk,kingdom,order,family,genus,species
Caiophora chuquitensis (Meyen) Urb. & Gilg,SPECIES,Plantae,Cornales,Loasaceae,Caiophora,Caiophora chuquitensis
Huperzia crassa (Humb. & Bonpl. ex Willd.) Rothm.,SPECIES,Plantae,Lycopodiales,Lycopodiaceae,Phlegmariurus,Phlegmariurus crassus
Berberis commutata Eichler,SPECIES,Plantae,Ranunculales,Berberidaceae,Berberis,Berberis commutata
Solanum raphanifolium Cárdenas & Hawkes,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum raphanifolium
Solanum sparsipilum (Bitter) Juz. & Bukasov,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum brevicaule
Solanum brevicaule Bitter,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum brevicaule
Coriandrum sativum L.,SPECIES,Plantae,Apiales,Apiaceae,Coriandrum,Coriandrum sativum
Neckera chilensis Schimp.,SPECIES,Plantae,Hypnales,Neckeraceae,Alleniella,Alleniella chilensis
Neckera andina Mitt.,SPECIES,Plantae,Hypnales,Neckeraceae,Alleniella,Alleniella andina
Geranium smithianum R.Knuth,SPECIES,Plantae,Geraniales,Geraniaceae,Geranium,Geranium smithianum
Solanum bukasovii Juz.,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum bukasovii
Senecio lorentzii Griseb.,SPECIES,Plantae,Asterales,Asteraceae,Senecio,Senecio lorentzii
Hieracium mandonii (Sch.Bip.) Arv.-Touv.,SPECIES,Plantae,Asterales,Asteraceae,Hieracium,Hieracium mandonii
Baccharis trimera (Less.) DC.,SPECIES,Plantae,Asterales,Asteraceae,Baccharis,Baccharis trimera
Passiflora pinnatistipula Cav.,SPECIES,Plantae,Malpighiales,Passifloraceae,Passiflora,Passiflora pinnatistipula
Conium maculatum L.,SPECIES,Plantae,Apiales,Apiaceae,Conium,Conium maculatum
Genista monspessulana (L.) L.A.S.Johnson,SPECIES,Plantae,Fabales,Fabaceae,Genista,Genista monspessulana
Nasturtium officinale R.Br.,SPECIES,Plantae,Brassicales,Brassicaceae,Nasturtium,Nasturtium officinale
Solanum pentlandii Dunal,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum pentlandii
Cotula coronopifolia L.,SPECIES,Plantae,Asterales,Asteraceae,Cotula,Cotula coronopifolia
Hydrocotyle ranunculoides L.fil.,SPECIES,Plantae,Apiales,Araliaceae,Hydrocotyle,Hydrocotyle ranunculoides
Agave cordillerensis Lodé & Pino,SPECIES,Plantae,Asparagales,Asparagaceae,Agave,Agave americana
Oenothera rosea Aiton,SPECIES,Plantae,Myrtales,Onagraceae,Oenothera,Oenothera rosea
Lobivia silvestrii (Speg.) G.D.Rowley,SPECIES,Plantae,Caryophyllales,Cactaceae,Chamaecereus,Chamaecereus silvestrii
Austrocylindropuntia subulata (Muehlenpf.) Backeb.,SPECIES,Plantae,Caryophyllales,Cactaceae,Austrocylindropuntia,Austrocylindropuntia subulata
Taraxacum officinale Weber ex F.H.Wigg.,SPECIES,Plantae,Asterales,Asteraceae,Taraxacum,Taraxacum officinale
Gentiana sedifolia Kunth,SPECIES,Plantae,Gentianales,Gentianaceae,Gentiana,Gentiana sedifolia
Azolla filiculoides Lam.,SPECIES,Plantae,Salviniales,Salviniaceae,Azolla,Azolla filiculoides
Trichocereus cuzcoensis Britton & Rose,SPECIES,Plantae,Caryophyllales,Cactaceae,Trichocereus,Trichocereus cuzcoensis
Argemone mexicana L.,SPECIES,Plantae,Ranunculales,Papaveraceae,Argemone,Argemone mexicana
Sisyrinchium pusillum Kunth,SPECIES,Plantae,Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium pusillum
Sisyrinchium chilense Hook.,SPECIES,Plantae,Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium chilense
Poa horridula Pilg.,SPECIES,Plantae,Poales,Poaceae,Poa,Poa horridula
Oxalis tuberosa Molina,SPECIES,Plantae,Oxalidales,Oxalidaceae,Oxalis,Oxalis tuberosa
Flowersia campylopus (Schimp.) D.G.Griffin & W.R.Buck,SPECIES,Plantae,Bartramiales,Bartramiaceae,Flowersia,Flowersia campylopus
Cryphaea brevipila Mitt.,SPECIES,Plantae,Hypnales,Cryphaeaceae,Cryphaea,Cryphaea brevipila
Anacolia intertexta (Besch.) Paris,SPECIES,Plantae,Bartramiales,Bartramiaceae,Flowersia,Flowersia setifolia
Monnina amarella Chodat,SPECIES,Plantae,Fabales,Polygalaceae,Monnina,Monnina amarella
Nassella pubiflora (Trin. & Rupr.) É.Desv.,SPECIES,Plantae,Poales,Poaceae,Nassella,Nassella pubiflora
Vulpia myuros (L.) C.C.Gmel.,SPECIES,Plantae,Poales,Poaceae,Festuca,Festuca myuros
Melica scabra Kunth,SPECIES,Plantae,Poales,Poaceae,Melica,Melica scabra
Philibertia parviflora (Malme) Goyder,SPECIES,Plantae,Gentianales,Apocynaceae,Philibertia,Philibertia parviflora
Bartsia camporum Diels,SPECIES,Plantae,Lamiales,Orobanchaceae,Neobartsia,Neobartsia camporum
Veronica polita Fr.,SPECIES,Plantae,Lamiales,Plantaginaceae,Veronica,Veronica polita
Calceolaria myriophylla Kraenzl.,SPECIES,Plantae,Lamiales,Calceolariaceae,Calceolaria,Calceolaria myriophylla
Calceolaria sparsiflora Kunze,SPECIES,Plantae,Lamiales,Calceolariaceae,Calceolaria,Calceolaria sparsiflora
Sonchus oleraceus L.,SPECIES,Plantae,Asterales,Asteraceae,Sonchus,Sonchus oleraceus
Vasquezia oppositifolia (Lag.) S.F.Blake,SPECIES,Plantae,Asterales,Asteraceae,Villanova,Villanova oppositifolia
Baccharis buxifolia (Lam.) Pers.,SPECIES,Plantae,Asterales,Asteraceae,Baccharis,Baccharis buxifolia
Eupatorium volkensii Hieron.,SPECIES,Plantae,Asterales,Asteraceae,Cronquistianthus,Cronquistianthus volkensii
Senecio vulgaris L.,SPECIES,Plantae,Asterales,Asteraceae,Senecio,Senecio vulgaris
Viguiera procumbens (Pers.) S.F.Blake,SPECIES,Plantae,Asterales,Asteraceae,Aldama,Aldama helianthoides
Mutisia acuminata Ruiz & Pav.,SPECIES,Plantae,Asterales,Asteraceae,Mutisia,Mutisia acuminata
Ophryosporus heptanthus (Sch.Bip. ex Wedd.) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Ophryosporus,Ophryosporus heptanthus
Tagetes multiflora Kunth,SPECIES,Plantae,Asterales,Asteraceae,Tagetes,Tagetes multiflora
Ambrosia arborescens Mill.,SPECIES,Plantae,Asterales,Asteraceae,Ambrosia,Ambrosia arborescens
Bidens andicola Kunth,SPECIES,Plantae,Asterales,Asteraceae,Bidens,Bidens andicola
Brassica rapa L.,SPECIES,Plantae,Brassicales,Brassicaceae,Brassica,Brassica rapa
Rumex cuneifolius Campd.,SPECIES,Plantae,Caryophyllales,Polygonaceae,Rumex,Rumex cuneifolius
Arenaria soratensis Rohrb.,SPECIES,Plantae,Caryophyllales,Caryophyllaceae,Arenaria,Arenaria soratensis
Monnina salicifolia Ruiz & Pav.,SPECIES,Plantae,Fabales,Polygalaceae,Monnina,Monnina salicifolia
Lupinus exochus C.P.Sm.,SPECIES,Plantae,Fabales,Fabaceae,Lupinus,Lupinus exochus
Senna versicolor (Meyen ex Vogel) H.S.Irwin & Barneby,SPECIES,Plantae,Fabales,Fabaceae,Senna,Senna versicolor
Medicago polymorpha L.,SPECIES,Plantae,Fabales,Fabaceae,Medicago,Medicago polymorpha
Minthostachys acris Schmidt-Leb.,SPECIES,Plantae,Lamiales,Lamiaceae,Minthostachys,Minthostachys acris
Solanum nitidum Ruiz & Pav.,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum nitidum
"Botryococcus braunii Kütz., 1849",SPECIES,Plantae,Trebouxiales,Botryococcaceae,Botryococcus,Botryococcus braunii
Nothoscordum andicola Kunth,SPECIES,Plantae,Asparagales,Amaryllidaceae,Nothoscordum,Nothoscordum andicola
Leucanthemum × superbum (Bergmans ex J.W.Ingram) D.H.Kent,SPECIES,Plantae,Asterales,Asteraceae,Leucanthemum,Leucanthemum superbum
Philibertia obtusiuscula Malme,SPECIES,Plantae,Gentianales,Apocynaceae,Philibertia,Philibertia solanoides
Hesperoxiphion peruvianum (Baker) Baker,SPECIES,Plantae,Asparagales,Iridaceae,Hesperoxiphion,Hesperoxiphion peruvianum
Cupressus lusitanica Mill.,SPECIES,Plantae,Pinales,Cupressaceae,Cupressus,Cupressus lusitanica
Oziroe sessilis (R.E.Fr.) Ravenna,SPECIES,Plantae,Asparagales,Asparagaceae,Oziroe,Oziroe acaulis
Equisetum bogotense Kunth,SPECIES,Plantae,Equisetales,Equisetaceae,Equisetum,Equisetum bogotense
Ipomoea dumetorum Willd. ex Roem. & Schult.,SPECIES,Plantae,Solanales,Convolvulaceae,Ipomoea,Ipomoea dumetorum
Schoenoplectus tatora (Kunth) Palla,SPECIES,Plantae,Poales,Cyperaceae,Schoenoplectus,Schoenoplectus californicus
Avena sativa L.,SPECIES,Plantae,Poales,Poaceae,Avena,Avena sativa
Descurainia myriophylla (Willd. ex DC.) R.E.Fr.,SPECIES,Plantae,Brassicales,Brassicaceae,Descurainia,Descurainia myriophylla
Geranium sessiliflorum Cav.,SPECIES,Plantae,Geraniales,Geraniaceae,Geranium,Geranium sessiliflorum
Ullucus tuberosus subsp. tuberosus,SUBSPECIES,Plantae,Caryophyllales,Basellaceae,Ullucus,Ullucus tuberosus
Leptodontium pungens (Mitt.) Kindb.,SPECIES,Plantae,Pottiales,Pottiaceae,Leptodontium,Leptodontium pungens
Bryum soboliferum Taylor,SPECIES,Plantae,Bryales,Bryaceae,Bryum,Bryum soboliferum
Syntrichia fragilis (Taylor) Ochyra,SPECIES,Plantae,Pottiales,Pottiaceae,Syntrichia,Syntrichia fragilis
Syntrichia andicola (Mont.) Ochyra,SPECIES,Plantae,Pottiales,Pottiaceae,Syntrichia,Syntrichia andicola
Streptopogon erythrodontus (Taylor) Wilson ex Mitt.,SPECIES,Plantae,Pottiales,Pottiaceae,Streptopogon,Streptopogon erythrodontus
"Anomobryum julaceum (Schrad. ex G.Gaertn., B.Mey. & Scherb.) Schimp.",SPECIES,Plantae,Bryales,Bryaceae,Anomobryum,Anomobryum julaceum
Bryum andicola Hook.,SPECIES,Plantae,Bryales,Bryaceae,Rosulabryum,Rosulabryum andicola
Bartramia potosica subsp. potosica,SUBSPECIES,Plantae,Bartramiales,Bartramiaceae,Bartramia,Bartramia potosica
Pseudocrossidium replicatum (Taylor) R.H.Zander,SPECIES,Plantae,Pottiales,Pottiaceae,Pseudocrossidium,Pseudocrossidium replicatum
Leptodontium capituligerum Müll.Hal.,SPECIES,Plantae,Pottiales,Pottiaceae,Leptodontium,Leptodontium capituligerum
Anomobryum prostratum (Müll.Hal.) Besch.,SPECIES,Plantae,Bryales,Bryaceae,Anomobryum,Anomobryum prostratum
Erythrophyllopsis andina (Sull.) R.H.Zander,SPECIES,Plantae,Pottiales,Pottiaceae,Erythrophyllopsis,Erythrophyllopsis andina
Grimmia longirostris Hook.,SPECIES,Plantae,Grimmiales,Grimmiaceae,Grimmia,Grimmia longirostris
Anacolia laevisphaera (Taylor) Flowers,SPECIES,Plantae,Bartramiales,Bartramiaceae,Bartramia,Bartramia laevisphaera
Entodon jamesonii (Taylor) Mitt.,SPECIES,Plantae,Hypnales,Entodontaceae,Entodon,Entodon jamesonii
Schistidium apocarpum (Hedw.) Bruch & Schimp.,SPECIES,Plantae,Grimmiales,Grimmiaceae,Schistidium,Schistidium apocarpum
Polytrichum juniperinum Hedw.,SPECIES,Plantae,Polytrichales,Polytrichaceae,Polytrichum,Polytrichum juniperinum
Leptodontium longicaule Mitt.,SPECIES,Plantae,Pottiales,Pottiaceae,Leptodontium,Leptodontium longicaule
Thuidium peruvianum Mitt.,SPECIES,Plantae,Hypnales,Thuidiaceae,Thuidium,Thuidium peruvianum
Targionia hypophylla L.,SPECIES,Plantae,Marchantiales,Targioniaceae,Targionia,Targionia hypophylla
Lethocolea glossophylla (Spruce) Grolle,SPECIES,Plantae,Jungermanniales,Acrobolbaceae,Lethocolea,Lethocolea glossophylla
Bryoerythrophyllum bolivianum (Müll.Hal.) R.H.Zander,SPECIES,Plantae,Pottiales,Pottiaceae,Bryoerythrophyllum,Bryoerythrophyllum bolivianum
Didymodon laevigatus (Mitt.) R.H.Zander,SPECIES,Plantae,Pottiales,Pottiaceae,Didymodon,Didymodon laevigatus
Bartramia mathewsii Mitt.,SPECIES,Plantae,Bartramiales,Bartramiaceae,Bartramia,Bartramia mathewsii
Stephaniellidium sleumeri (Müll.Frib.) S.Winkl. ex Grolle,SPECIES,Plantae,Jungermanniales,Stephaniellaceae,Stephaniellidium,Stephaniellidium sleumeri
Breutelia brittoniae Renauld & Cardot,SPECIES,Plantae,Bartramiales,Bartramiaceae,Breutelia,Breutelia brittoniae
Pohlia chilensis (Mont.) A.J.Shaw,SPECIES,Plantae,Bryales,Mniaceae,Pohlia,Pohlia chilensis
Didymodon icmadophilus (Schimp. ex Müll.Hal.) K.Saito,SPECIES,Plantae,Pottiales,Pottiaceae,Didymodon,Didymodon icmadophilus
Trichostomum brachydontium Bruch,SPECIES,Plantae,Pottiales,Pottiaceae,Trichostomum,Trichostomum brachydontium
Frullania standaertii Steph.,SPECIES,Plantae,Porellales,Frullaniaceae,Frullania,Frullania standaertii
Breutelia chrysea (Müll.Hal.) A.Jaeger,SPECIES,Plantae,Bartramiales,Bartramiaceae,Breutelia,Breutelia chrysea
Hypnum amabile (Mitt.) Hampe,SPECIES,Plantae,Hypnales,Pylaisiaceae,Calohypnum,Calohypnum amabile
Berberis rariflora Lechl.,SPECIES,Plantae,Ranunculales,Berberidaceae,Berberis,Berberis rariflora
Passiflora × rosea (H.Karst.) Killip,SPECIES,Plantae,Malpighiales,Passifloraceae,Passiflora,Passiflora rosea
Nothoscordum bivalve (L.) Britton,SPECIES,Plantae,Asparagales,Amaryllidaceae,Nothoscordum,Nothoscordum bivalve
Zea mays subsp. mays,SUBSPECIES,Plantae,Poales,Poaceae,Zea,Zea mays
Zea mays L.,SPECIES,Plantae,Poales,Poaceae,Zea,Zea mays
Veronica persica Poir.,SPECIES,Plantae,Lamiales,Plantaginaceae,Veronica,Veronica persica
Chromolaena odorata (L.) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Chromolaena,Chromolaena odorata
Senecio condimentarius Cabrera,SPECIES,Plantae,Asterales,Asteraceae,Senecio,Senecio condimentarius
Eustephia coccinea Cav.,SPECIES,Plantae,Asparagales,Amaryllidaceae,Eustephia,Eustephia coccinea
Hypochaeris sessiliflora Kunth,SPECIES,Plantae,Asterales,Asteraceae,Hypochaeris,Hypochaeris sessiliflora
Eschscholzia californica Cham.,SPECIES,Plantae,Ranunculales,Papaveraceae,Eschscholzia,Eschscholzia californica
Plantago tubulosa Decne.,SPECIES,Plantae,Lamiales,Plantaginaceae,Plantago,Plantago tubulosa
Solanum caripense Humb. & Bonpl. ex Dunal,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum caripense
Castilleja pumila (Benth.) Wedd.,SPECIES,Plantae,Lamiales,Orobanchaceae,Castilleja,Castilleja pumila
Prumnopitys harmsiana (Pilg.) de Laub.,SPECIES,Plantae,Pinales,Podocarpaceae,Prumnopitys,Prumnopitys harmsiana
Cissus obliqua Ruiz & Pav.,SPECIES,Plantae,Vitales,Vitaceae,Cissus,Cissus obliqua
Peltastes giganteus Woodson,SPECIES,Plantae,Gentianales,Apocynaceae,Macropharynx,Macropharynx gigantea
Styrax cordatus (Ruiz & Pav.) A.DC.,SPECIES,Plantae,Ericales,Styracaceae,Styrax,Styrax pavonii
Campyloneurum ophiocaulon (Klotzsch) Fée,SPECIES,Plantae,Polypodiales,Polypodiaceae,Campyloneurum,Campyloneurum ophiocaulon
Nectandra reticulata (Ruiz & Pav.) Mez,SPECIES,Plantae,Laurales,Lauraceae,Nectandra,Nectandra villosa
Piper umbellatum L.,SPECIES,Plantae,Piperales,Piperaceae,Piper,Piper umbellatum
Solanum albidum Dunal,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum albidum
Begonia glabra Aubl.,SPECIES,Plantae,Cucurbitales,Begoniaceae,Begonia,Begonia glabra
Cestrum racemosum Ruiz & Pav.,SPECIES,Plantae,Solanales,Solanaceae,Cestrum,Cestrum racemosum
Paspalum saccharoides Nees ex Trin.,SPECIES,Plantae,Poales,Poaceae,Paspalum,Paspalum saccharoides
Palicourea thyrsiflora (Ruiz & Pav.) DC.,SPECIES,Plantae,Gentianales,Rubiaceae,Palicourea,Palicourea thyrsiflora
Cyrtocymura scorpioides (Lam.) H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Cyrtocymura,Cyrtocymura scorpioides
Cestrum schlechtendalii G.Don,SPECIES,Plantae,Solanales,Solanaceae,Cestrum,Cestrum schlechtendalii
Centropogon reflexus C.Presl,SPECIES,Plantae,Asterales,Campanulaceae,Centropogon,Centropogon reflexus
Sphyrospermum cordifolium Benth.,SPECIES,Plantae,Ericales,Ericaceae,Sphyrospermum,Sphyrospermum cordifolium
Psychotria trivialis Rusby,SPECIES,Plantae,Gentianales,Rubiaceae,Psychotria,Psychotria trivialis
Ctenitis ampla (Humb. & Bonpl. ex Willd.) Ching,SPECIES,Plantae,Polypodiales,Dryopteridaceae,Ctenitis,Ctenitis sloanei
Quechualia fulta (Griseb.) H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Quechualia,Quechualia fulta
Pityrogramma ochracea (C.Presl) Domin,SPECIES,Plantae,Polypodiales,Pteridaceae,Pityrogramma,Pityrogramma ochracea
Gouania polygama (Jacq.) Urb.,SPECIES,Plantae,Rosales,Rhamnaceae,Gouania,Gouania polygama
Microchilus cuscoensis Kolan. & Szlach.,SPECIES,Plantae,Asparagales,Orchidaceae,Microchilus,Microchilus cuscoensis
Mikania tambillensis Hieron.,SPECIES,Plantae,Asterales,Asteraceae,Mikania,Mikania tambillensis
Hiraea crassipes A.Juss.,SPECIES,Plantae,Malpighiales,Malpighiaceae,Hiraea,Hiraea crassipes
Ruellia haenkeana (Nees) Wassh.,SPECIES,Plantae,Lamiales,Acanthaceae,Ruellia,Ruellia haenkeana
Austroeupatorium inulifolium (Kunth) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Austroeupatorium,Austroeupatorium inulifolium
Asplenium alatum Humb. & Bonpl. ex Willd.,SPECIES,Plantae,Polypodiales,Aspleniaceae,Asplenium,Asplenium alatum
Inga yacoana J.F.Macbr.,SPECIES,Plantae,Fabales,Fabaceae,Inga,Inga yacoana
Baccharis latifolia (Ruiz & Pav.) Pers.,SPECIES,Plantae,Asterales,Asteraceae,Baccharis,Baccharis latifolia
Lepidaploa costata (Rusby) H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Lepidaploa,Lepidaploa costata
Gurania lobata (L.) Pruski,SPECIES,Plantae,Cucurbitales,Cucurbitaceae,Gurania,Gurania lobata
Hyptis odorata Benth.,SPECIES,Plantae,Lamiales,Lamiaceae,Hyptis,Hyptis odorata
Pteris quadriaurita Retz.,SPECIES,Plantae,Polypodiales,Pteridaceae,Pteris,Pteris quadriaurita
Blechnum gracile Kaulf.,SPECIES,Plantae,Polypodiales,Blechnaceae,Blechnum,Blechnum gracile
Myrsine latifolia (Ruiz & Pav.) Spreng.,SPECIES,Plantae,Ericales,Primulaceae,Myrsine,Myrsine latifolia
Cestrum conglomeratum Ruiz & Pav.,SPECIES,Plantae,Solanales,Solanaceae,Cestrum,Cestrum conglomeratum
Baccharis solomonii H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Baccharis,Baccharis saliens
Cenchrus purpureus (Schumach.) Morrone,SPECIES,Plantae,Poales,Poaceae,Cenchrus,Cenchrus purpureus
Diplopterys lucida (Rich.) W.R.Anderson & C.Davis,SPECIES,Plantae,Malpighiales,Malpighiaceae,Diplopterys,Diplopterys lucida
Sanchezia oblonga Ruiz & Pav.,SPECIES,Plantae,Lamiales,Acanthaceae,Sanchezia,Sanchezia oblonga
Siparuna thecaphora (Poepp. & Endl.) A.DC.,SPECIES,Plantae,Laurales,Siparunaceae,Siparuna,Siparuna thecaphora
Salvia occidentalis Sw.,SPECIES,Plantae,Lamiales,Lamiaceae,Salvia,Salvia occidentalis
Cyathea ruiziana Klotzsch,SPECIES,Plantae,Cyatheales,Cyatheaceae,Cyathea,Cyathea ruiziana
Cyathea conjugata (Spruce ex Hook.) Domin,SPECIES,Plantae,Cyatheales,Cyatheaceae,Cyathea,Cyathea conjugata
Solanum iltisii K.E.Roe,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum iltisii
Clematis haenkeana C.Presl,SPECIES,Plantae,Ranunculales,Ranunculaceae,Clematis,Clematis haenkeana
Boehmeria caudata Sw.,SPECIES,Plantae,Rosales,Urticaceae,Boehmeria,Boehmeria caudata
Cecropia tacuna C.C.Berg & P.Franco,SPECIES,Plantae,Rosales,Urticaceae,Cecropia,Cecropia tacuna
Philodendron deltoideum Poepp.,SPECIES,Plantae,Alismatales,Araceae,Philodendron,Philodendron deltoideum
Lepidium chichieara Desv.,SPECIES,Plantae,Brassicales,Brassicaceae,Lepidium,Lepidium chichieara
Lepidium chichicara Desv.,SPECIES,Plantae,Brassicales,Brassicaceae,Lepidium,Lepidium chichicara
Lupinus ballianus C.P.Sm.,SPECIES,Plantae,Fabales,Fabaceae,Lupinus,Lupinus ballianus
Tropaeolum tuberosum Ruiz & Pav.,SPECIES,Plantae,Brassicales,Tropaeolaceae,Tropaeolum,Tropaeolum tuberosum
Polypogon interruptus Kunth,SPECIES,Plantae,Poales,Poaceae,Polypogon,Polypogon interruptus
Paspalum pilgerianum Chase,SPECIES,Plantae,Poales,Poaceae,Paspalum,Paspalum pilgerianum
Philibertia lysimachioides (Wedd.) T.Mey.,SPECIES,Plantae,Gentianales,Apocynaceae,Philibertia,Philibertia lysimachioides
Calceolaria virgata Ruiz & Pav.,SPECIES,Plantae,Lamiales,Calceolariaceae,Calceolaria,Calceolaria virgata
Bartsia bartsioides (Hook.) Edwin,SPECIES,Plantae,Lamiales,Orobanchaceae,Neobartsia,Neobartsia bartsioides
Veronica serpyllifolia L.,SPECIES,Plantae,Lamiales,Plantaginaceae,Veronica,Veronica serpyllifolia
Plantago lamprophylla Pilg.,SPECIES,Plantae,Lamiales,Plantaginaceae,Plantago,Plantago lamprophylla
Luzula racemosa Desv.,SPECIES,Plantae,Poales,Juncaceae,Luzula,Luzula racemosa
Echeandia herrerae (Killip) Cruden,SPECIES,Plantae,Asparagales,Asparagaceae,Echeandia,Echeandia herrerae
Hypoxis decumbens L.,SPECIES,Plantae,Asparagales,Hypoxidaceae,Hypoxis,Hypoxis decumbens
Bomarea ovata (Cav.) Mirb.,SPECIES,Plantae,Liliales,Alstroemeriaceae,Bomarea,Bomarea ovata
Peperomia minuta A.W.Hill,SPECIES,Plantae,Piperales,Piperaceae,Peperomia,Peperomia minuta
Arenaria lanuginosa (Michx.) Rohrb.,SPECIES,Plantae,Caryophyllales,Caryophyllaceae,Arenaria,Arenaria lanuginosa
Galium corymbosum Ruiz & Pav.,SPECIES,Plantae,Gentianales,Rubiaceae,Galium,Galium corymbosum
Lupinus mutabilis Sweet,SPECIES,Plantae,Fabales,Fabaceae,Lupinus,Lupinus mutabilis
Pisum sativum L.,SPECIES,Plantae,Fabales,Fabaceae,Lathyrus,Lathyrus oleraceus
Pylaisia falcata Schimp.,SPECIES,Plantae,Hypnales,Pylaisiaceae,Pylaisia,Pylaisia falcata
Orthotrichum elongatum Taylor,SPECIES,Plantae,Orthotrichales,Orthotrichaceae,Lewinskya,Lewinskya elongata
Fissidens crispus Mont.,SPECIES,Plantae,Dicranales,Fissidentaceae,Fissidens,Fissidens crispus
